avg_test_reward,MAE_speed,RMSE_speed,jerk_mean,jerk_var,in_range_pct,Training Time,Corr Coeff,chunk_size,learning_rate,batch_size,gamma,tau,total_timesteps,timestamp,
-19.70385726,2.422783301,3.124810376,-0.0036728,123.6154784,43.5,51.29,0.679374878,400,0.0003,512,0.95,0.005,100000,201021,
-17.86145508,3.195667243,3.961323364,0.003334622,118.896066,37.91666667,51.6,0.632049056,100,0.0003,512,0.95,0.01,100000,193526,
-22.43768262,2.914264917,3.614362403,-0.000624668,88.93562643,31.33333333,51.53,0.574212215,400,0.0003,512,0.95,0.01,100000,201152,
-31.05195121,2.676758493,3.369299719,-0.005323998,108.6300395,0.75,51.05,0.607832673,400,0.0003,256,0.95,0.01,100000,195339,
-78.35839867,2.743104317,3.474006398,-0.006304207,185.2111763,0.75,51.42,0.574294138,400,0.0003,512,0.95,0.01,100000,200244,
-43.30235031,2.837855735,3.514777696,-0.002371335,190.3022326,0.75,50.95,0.566982933,400,0.0003,256,0.99,0.01,100000,194907,
-42.21874079,2.904359612,3.595243462,-0.006437536,95.73426594,0.75,51.3,0.524147074,50,0.0003,256,0.99,0.01,100000,184504,
-94.78876448,3.246145502,4.036167737,-0.009238611,367.8569993,0.75,51.64,0.378342373,400,0.0003,512,0.99,0.01,100000,200718,
-164.4231876,3.370917721,4.232224504,-0.015594694,835.0821655,0.75,51.39,0.258206756,400,0.0003,512,0.99,0.002,100000,201323,
-139.2730994,3.766166893,4.801584809,0.004106559,187.1566732,0.75,51.13,0.058213455,400,0.0003,256,0.99,0.01,100000,195811,
-105.0759088,3.894739291,4.608163192,-0.012980609,531.0432655,0.75,51.62,0.210284351,400,0.0003,512,0.99,0.01,100000,201626,
-151.3291038,4.086451871,4.855431417,-0.016196423,163.6761152,0.75,52.02,0.104154293,50,0.0003,512,0.99,0.01,100000,185414,
-614.4707095,6.730046661,8.024012908,-0.016616217,1514.278743,0.75,51.55,-0.124035564,50,0.0003,256,0.99,0.01,100000,183557,
-621.7648619,10.13879663,10.96928239,-0.016666667,0.333055556,0.75,51.49,,100,0.0003,256,0.95,0.01,100000,191709,
