avg_test_reward,MAE_speed,RMSE_speed,jerk_mean,jerk_var,in_range_pct,Training Time,Corr Coeff,chunk_size,learning_rate,batch_size,buffer,gamma,tau,total_timesteps,timestamp
-9.446100610426312,2.82898314272364,3.664435600788782,-0.0025613447030385,48.48761515065394,65.33333333333333,97.66,0.673333073744224,100,0.0003,256,1000000,0.95,0.005,100000,112213
-9.528152386269836,2.8726003700618943,3.665670921512866,0.0013847947120666,46.191766283408114,63.33333333333333,93.8,0.6677375209689465,400,0.0003,256,500000,0.98,0.005,100000,120812
-6.42568690416123,2.7694249480217694,3.6736771819427134,0.0021851201852162,18.018041440609142,79.0,97.57,0.6901452574315248,100,0.0003,256,1000000,0.95,0.002,100000,111954
-6.149729012686847,2.8435490731149917,3.679189418750324,-0.0001463065544764,17.01480474490899,67.41666666666667,94.38,0.6927341203295907,100,0.0003,512,500000,0.95,0.005,100000,113614
-7.4060337021554945,2.8192643044516443,3.679811428003611,-0.000251367688179,26.64664622775772,68.75,96.58,0.6910310018334648,100,0.0003,256,500000,0.95,0.002,100000,110601
-6.224044059783402,2.8356713951130708,3.681138077291185,0.0025504787762959,16.533939146255552,68.41666666666667,97.54,0.6892544087739996,100,0.0003,512,500000,0.99,0.002,100000,114301
-8.955074084305576,2.870702491365373,3.6820571387954257,-0.0016655494769414,43.06458544099665,61.91666666666666,94.77,0.6752749479632967,100,0.0003,512,500000,0.98,0.002,100000,113830
-7.251952575193145,2.8950193896268805,3.690632848614293,-0.0006950934727986,22.19636819310923,60.66666666666667,97.1,0.6809561279846943,400,0.0003,256,1000000,0.95,0.002,100000,121457
-7.622379638109434,2.8625781268874806,3.696137214943533,-0.0023679802815119,27.200448981251164,61.583333333333336,97.94,0.6684203202428705,400,0.0003,512,1000000,0.95,0.005,100000,124454
-6.9110755759381055,2.955518645954629,3.720569995448182,-0.0012996097405751,19.907864544060423,50.083333333333336,97.72,0.6523068481318937,400,0.0003,512,1000000,0.95,0.002,100000,124236
-8.02364824333717,2.9857147577777505,3.73358212773894,-0.0026543021202087,28.00679218893097,49.41666666666666,97.85,0.6271922203231987,400,0.0003,512,500000,0.98,0.002,100000,123322
-6.615356925768057,2.9502886828656,3.7380611454956063,-0.0004080921411514,19.416734211811043,54.50000000000001,96.11,0.6628361644683376,100,0.0003,512,1000000,0.99,0.005,100000,115908
-6.521786710078627,3.0150808515399694,3.806463011500541,-0.000611854592959,13.271921825196513,51.83333333333333,96.92,0.6634577124370744,400,0.0003,256,1000000,0.98,0.002,100000,121933
-7.976738167248456,3.0955648583794635,3.824965973660402,-0.0022426744302113,17.073630169828633,46.58333333333333,93.47,0.6022509997196612,400,0.0003,256,500000,0.99,0.002,100000,121027
-7.695842385670242,3.039504114848872,3.8553213149461434,-0.000588450829188,24.665803323184992,55.833333333333336,94.08,0.6637660485819146,400,0.0003,256,500000,0.98,0.002,100000,120557
-10.990926478785092,3.072651933059096,3.8753950654251175,0.0010168552398681,57.0276375014491,48.833333333333336,96.06,0.659614986504712,100,0.0003,512,1000000,0.98,0.005,100000,115432
-8.74557744316549,3.147622136709591,3.901147933568856,0.0021122515201568,28.8747997988816,39.83333333333333,97.59,0.6116201277575535,400,0.0003,512,1000000,0.99,0.002,100000,125151
-8.334014422696692,3.1875334551682077,3.945567239838321,-0.0008746574322382,21.440516305968405,38.41666666666666,98.03,0.5994930186856906,400,0.0003,512,500000,0.99,0.002,100000,123759
-8.076269700806769,3.0420258087478578,3.966374612337407,0.0021255294481913,22.535774601170104,63.33333333333333,96.5,0.6800566580437515,100,0.0003,512,1000000,0.98,0.002,100000,115214
-8.08011105977245,3.160267965855698,3.9819728742284015,-0.0003876606623331,20.090301277085835,45.83333333333333,97.07,0.6203276029728997,400,0.0003,256,1000000,0.99,0.002,100000,122409
-11.805561684886646,3.10364429867516,3.990963325060878,-0.0051826943953831,54.60883745578593,58.16666666666666,97.69,0.6449014542069655,400,0.0003,512,1000000,0.99,0.005,100000,125410
-10.494278474389318,3.107752985333403,4.014423285896254,0.0010336796442667,37.05678598540337,55.25,95.21,0.6775320706921008,400,0.0003,256,500000,0.99,0.005,100000,121241
-11.070956355626857,3.1310225587462384,4.048762589939747,-0.0004852980375289,45.64150039041879,58.25,95.96,0.6667853594043038,100,0.0003,256,500000,0.98,0.005,100000,111251
-10.903600515278958,3.4463713098069038,4.283410666913743,-0.0021905461947123,35.485790664098225,39.33333333333333,96.47,0.6148097712037981,100,0.0003,512,1000000,0.95,0.005,100000,114956
